tournament_id,tournament_name,tournament_location,tournament_level,draw_size,Surface,indoor_or_outdoor
2021-9410,Astana Open,Nur-Sultan,A,32.0,hard,Indoor
2021-7434,Sofia Open,Sofia,A,32.0,hard,Indoor
2021-9569,San Diego Open,San Diego,A,32.0,hard,Outdoor
2021-0404,BNP Paribas Open,Indian Wells,M,128.0,hard,Outdoor
2021-0438,Kremlin Cup,Moscow,A,32.0,hard,Indoor
2021-7485,European Open,Antwerp,A,32.0,hard,Indoor
2021-0337,Vienna Open,Vienna,A,32.0,hard,Indoor
2021-0568,St. Petersburg Open,St. Petersburg,A,32.0,hard,Indoor
2021-0352,BNP Paribas Masters,Paris 2,M,64.0,hard,Indoor
2021-0429,Stockholm Open,Stockholm,A,32.0,hard,Indoor
2022-8998,Adelaide International 1,Adelaide 1,A,32.0,hard,Outdoor
2022-9667,Adelaide International 2,Adelaide 2,A,32.0,hard,Outdoor
2022-9663,Sydney Tennis Classic,Sydney,A,32.0,hard,Outdoor
2022-580,Australian Open,Melbourne,G,128.0,hard,Outdoor
2022-0375,Open Sud de France,Montpellier,A,32.0,hard,Indoor
2022-9158,Cordoba Open,Cordoba,A,32.0,clay,Outdoor
2022-0891,Maharashtra Open,Pune,A,32.0,hard,Outdoor
2022-0407,ABN AMRO World Tennis Tournament,Rotterdam,A,32.0,hard,Indoor
2022-0506,Argentina Open,Buenos Aires,A,32.0,clay,Outdoor
2022-0424,Dallas Open,Dallas,A,32.0,hard,Indoor
2022-0451,Qatar Exxon Mobil Open,Doha,A,32.0,hard,Outdoor
2022-0496,Open 13,Marseille,A,32.0,hard,Indoor
2022-0499,Delray Beach Open,Delray Beach,A,32.0,hard,Outdoor
2022-6932,Rio Open,Rio de Janeiro,A,32.0,clay,Outdoor
2022-0495,Dubai Tennis Championships,Dubai,A,32.0,hard,Outdoor
2022-8996,Chile Open,Santiago,A,32.0,clay,Indoor
2022-0807,Abierto Mexicano,Acapulco,A,32.0,hard,Outdoor
2022-0404,BNP Paribas Open,Indian Wells,M,128.0,hard,Outdoor
2022-0403,Miami Open,Miami,M,128.0,hard,Outdoor
2022-0717,U.S. Men's Clay Court Championships,Houston,A,32.0,clay,Outdoor
2022-0360,Grand Prix Hassan II,Marrakech,A,32.0,clay,Outdoor
2022-0410,Monte Carlo Masters,Monte Carlo,M,64.0,clay,Outdoor
2022-0425,Barcelona Open,Barcelona,A,64.0,clay,Outdoor
2022-5053,Serbia Open,Belgrade,A,32.0,clay,Outdoor
2022-7290,Millennium Estoril Open,Estoril,A,32.0,clay,Outdoor
2022-0308,BMW Open,Munich,A,32.0,clay,Outdoor
2022-1536,Mutua Madrid Open,Madrid,M,64.0,clay,Outdoor
2022-0416,Internazionali BNL d'Italia,Rome,M,64.0,clay,Outdoor
2022-0322,Geneva Open,Geneva,A,32.0,clay,Outdoor
2022-7694,Lyon Open,Lyon,A,32.0,clay,Outdoor
2022-520,French Open,Paris,G,128.0,clay,Outdoor
2022-0321,Mercedes Cup,Stuttgart,A,32.0,grass,Outdoor
2022-0440,Rosmalen Grass Court Championships,'s-Hertogenbosch,A,32.0,grass,Outdoor
2022-0500,Halle Open,Halle,A,32.0,grass,Outdoor
2022-0311,Queen's Club Championships,Queens Club,A,32.0,grass,Outdoor
2022-8994,Mallorca Championships,Mallorca,A,32.0,grass,Outdoor
2022-0741,Eastbourne International,Eastbourne,A,32.0,grass,Outdoor
2022-540,Wimbledon,London,G,128.0,grass,Outdoor
2022-0315,Hall of Fame Championships,Newport,A,32.0,grass,Outdoor
2022-0316,Nordea Open,Bastad,A,32.0,clay,Outdoor
2022-0314,Suisse Open Gstaad,Gstaad,A,32.0,clay,Outdoor
2022-0414,European Open,Hamburg,A,32.0,clay,Outdoor
2022-6116,Atlanta Open,Atlanta,A,32.0,hard,Outdoor
2022-0319,Generali Open,Kitzbuhel,A,32.0,clay,Outdoor
2022-0439,Croatia Open,Umag,A,32.0,clay,Outdoor
2022-0418,Citi Open,Washington,A,64.0,hard,Outdoor
2022-7480,Los Cabos Open,Los Cabos,A,32.0,hard,Outdoor
2022-0421,Canadian Open,Montreal,M,64.0,hard,Outdoor
2022-0422,Western & Southern Financial Group Masters,Cincinnati,M,64.0,hard,Outdoor
2022-6242,Winston-Salem Open at Wake Forest University,Winston-Salem,A,64.0,hard,Outdoor
2022-560,US Open,New York,G,128.0,hard,Outdoor
2022-9569,San Diego Open,San Diego,A,32.0,hard,Outdoor
2022-0341,Open de Moselle,Metz,A,32.0,hard,Indoor
2022-4140,Korea Open,Seoul,A,32.0,hard,Outdoor
2022-7434,Sofia Open,Sofia,A,32.0,hard,Indoor
2022-4138,Tel Aviv Open,Tel Aviv,A,32.0,hard,Indoor
2022-0329,Rakuten Japan Open Tennis Championships,Tokyo,A,32.0,hard,Outdoor
2022-9410,Astana Open,Nur-Sultan,A,32.0,hard,Indoor
2022-2807,Gijon Open,Gijon,A,32.0,hard,Indoor
2022-2805,Firenze Open,Florence,A,32.0,hard,Indoor
2022-0429,Stockholm Open,Stockholm,A,32.0,hard,Indoor
2022-7485,European Open,Antwerp,A,32.0,hard,Indoor
2022-2809,Napoli Cup,Naples,A,32.0,hard,Outdoor
2022-0328,Swiss Indoors,Basel,A,32.0,hard,Indoor
2022-0337,Vienna Open,Vienna,A,32.0,hard,Indoor
2022-0352,BNP Paribas Masters,Paris 2,M,64.0,hard,Indoor
2023-2843,Adelaide International 1,Adelaide 1,A,32.0,hard,Outdoor
2023-0891,Maharashtra Open,Pune,A,32.0,hard,Outdoor
2023-0301,ASB Classic,Auckland,A,32.0,hard,Outdoor
2023-8998,Adelaide International 2,Adelaide 2,A,32.0,hard,Outdoor
2023-580,Australian Open,Melbourne,G,128.0,hard,Outdoor
2023-0375,Open Sud de France,Montpellier,A,32.0,hard,Indoor
2023-9158,Cordoba Open,Cordoba,A,32.0,clay,Outdoor
2023-0424,Dallas Open,Dallas,A,32.0,hard,Indoor
2023-0506,Argentina Open,Buenos Aires,A,32.0,clay,Outdoor
2023-0407,ABN AMRO World Tennis Tournament,Rotterdam,A,32.0,hard,Indoor
2023-0499,Delray Beach Open,Delray Beach,A,32.0,hard,Outdoor
2023-0496,Open 13,Marseille,A,32.0,hard,Indoor
2023-6932,Rio Open,Rio de Janeiro,A,32.0,clay,Outdoor
2023-0451,Qatar Exxon Mobil Open,Doha,A,32.0,hard,Outdoor
2023-0495,Dubai Tennis Championships,Dubai,A,32.0,hard,Outdoor
2023-8996,Chile Open,Santiago,A,32.0,clay,Indoor
2023-0807,Abierto Mexicano,Acapulco,A,32.0,hard,Outdoor
2023-0404,BNP Paribas Open,Indian Wells,M,128.0,hard,Outdoor
2023-0403,Miami Open,Miami,M,128.0,hard,Outdoor
2023-0360,Grand Prix Hassan II,Marrakech,A,32.0,clay,Outdoor
2023-7290,Estoril Open,Estoril,A,32.0,clay,Outdoor
2023-0717,U.S. Men's Clay Court Championships,Houston,A,32.0,clay,Outdoor
2023-0410,Monte Carlo Masters,Monte Carlo,M,64.0,clay,Outdoor
2023-0425,Barcelona Open,Barcelona,A,64.0,clay,Outdoor
2023-0308,BMW Open,Munich,A,32.0,clay,Outdoor
2023-2841,Srpska Open,Banja Luka,A,32.0,clay,Outdoor
2023-1536,Mutua Madrid Open,Madrid,M,128.0,clay,Outdoor
2023-0416,Internazionali BNL d'Italia,Rome,M,128.0,clay,Outdoor
2023-0322,Geneva Open,Geneva,A,32.0,clay,Outdoor
2023-7694,Lyon Open,Lyon,A,32.0,clay,Outdoor
2023-520,French Open,Paris,G,128.0,clay,Outdoor
2023-0321,Stuttgart Open,Stuttgart,A,32.0,grass,Outdoor
2023-0440,Rosmalen Grass Court Championships,'s-Hertogenbosch,A,32.0,grass,Outdoor
2023-0311,Queen's Club Championships,Queens Club,A,32.0,grass,Outdoor
2023-0500,Halle Open,Halle,A,32.0,grass,Outdoor
2023-8994,Mallorca Championships,Mallorca,A,32.0,grass,Outdoor
2023-0741,Eastbourne International,Eastbourne,A,32.0,grass,Outdoor
2023-540,Wimbledon,London,G,128.0,grass,Outdoor
2023-0315,Hall of Fame Championships,Newport,A,32.0,grass,Outdoor
2023-0316,Nordea Open,Bastad,A,32.0,clay,Outdoor
2023-0314,Suisse Open Gstaad,Gstaad,A,32.0,clay,Outdoor
2023-6116,Atlanta Open,Atlanta,A,32.0,hard,Outdoor
2023-0439,Croatia Open,Umag,A,32.0,clay,Outdoor
2023-0414,European Open,Hamburg,A,32.0,clay,Outdoor
2023-0319,Generali Open,Kitzbuhel,A,32.0,clay,Outdoor
2023-0418,Citi Open,Washington,A,64.0,hard,Outdoor
2023-7480,Los Cabos Open,Los Cabos,A,32.0,hard,Outdoor
2023-0421,Canadian Open,Toronto,M,64.0,hard,Outdoor
2023-0422,Western & Southern Financial Group Masters,Cincinnati,M,64.0,hard,Outdoor
2023-6242,Winston-Salem Open at Wake Forest University,Winston-Salem,A,64.0,hard,Outdoor
2023-560,US Open,New York,G,128.0,hard,Outdoor
2023-7581,Chengdu Open,Chengdu,A,32.0,hard,Outdoor
2023-9164,Zhuhai Championships,Zhuhai,A,32.0,hard,Outdoor
2023-9410,Astana Open,Nur-Sultan,A,32.0,hard,Indoor
2023-0747,China Open,Beijing,A,32.0,hard,Outdoor
2023-5014,Shanghai Masters,Shanghai,M,128.0,hard,Outdoor
2023-7485,European Open,Antwerp,A,32.0,hard,Indoor
2023-0429,Nordic Open,Stockholm,A,32.0,hard,Indoor
2023-0329,Japan Open Tennis Championships,Tokyo,A,32.0,hard,Outdoor
2023-0328,Swiss Indoors,Basel,A,32.0,hard,Indoor
2023-0337,Vienna Open,Vienna,A,32.0,hard,Indoor
2023-0352,BNP Paribas Masters,Paris 2,M,64.0,hard,Indoor
2023-0341,Open de Moselle,Metz,A,32.0,hard,Indoor
2023-7434,Sofia Open,Sofia,A,32.0,hard,Indoor
Brisbane_2024,Brisbane International,Brisbane,ATP250,,hard,outdoor
Hong Kong_2024,Hong Kong Tennis Open,Hong Kong,ATP250,,hard,outdoor
Adelaide_2024,Adelaide International,Adelaide,ATP250,,hard,outdoor
Auckland_2024,ASB Classic,Auckland,ATP250,,hard,outdoor
Melbourne_2024,Australian Open,Melbourne,Grand Slam,,hard,outdoor
Montpellier_2024,Open Sud de France,Montpellier,ATP250,,hard,INDOOR
Cordoba_2024,Cordoba Open,Cordoba,ATP250,,clay,outdoor
Marseille_2024,Open 13,Marseille,ATP250,,hard,INDOOR
Dallas_2024,Dallas Open,Dallas,ATP250,,hard,INDOOR
Rotterdam_2024,ABN AMRO World Tennis Tournament,Rotterdam,ATP500,,hard,INDOOR
Buenos Aires_2024,Argentina Open,Buenos Aires,ATP250,,clay,outdoor
Delray Beach_2024,Delray Beach Open,Delray Beach,ATP250,,hard,outdoor
Doha_2024,Qatar Exxon Mobil Open,Doha,ATP250,,hard,outdoor
Rio de Janeiro_2024,Rio Open,Rio de Janeiro,ATP500,,clay,outdoor
Los Cabos_2024,Los Cabos Open,Los Cabos,ATP250,,hard,outdoor
Dubai_2024,Dubai Tennis Championships,Dubai,ATP500,,hard,outdoor
Santiago_2024,Chile Open,Santiago,ATP250,,clay,outdoor
Acapulco_2024,Abierto Mexicano,Acapulco,ATP500,,hard,outdoor
Indian Wells_2024,BNP Paribas Open,Indian Wells,Masters 1000,,hard,outdoor
Miami_2024,Miami Open,Miami,Masters 1000,,hard,outdoor
Houston_2024,U.S. Men's Clay Court Championships,Houston,ATP250,,clay,outdoor
Estoril_2024,Estoril Open,Estoril,ATP250,,clay,outdoor
Marrakech_2024,Grand Prix Hassan II,Marrakech,ATP250,,clay,outdoor
Monte Carlo_2024,Monte Carlo Masters,Monte Carlo,Masters 1000,,clay,outdoor
Munich_2024,BMW Open,Munich,ATP250,,clay,outdoor
Bucharest_2024,Tiriac Open,Bucharest,ATP250,,clay,outdoor
Barcelona_2024,Barcelona Open,Barcelona,ATP500,,clay,outdoor
Madrid_2024,Mutua Madrid Open,Madrid,Masters 1000,,clay,outdoor
Rome_2024,Internazionali BNL d'Italia,Rome,Masters 1000,,clay,outdoor
Lyon_2024,Lyon Open,Lyon,ATP250,,clay,outdoor
Geneva_2024,Geneva Open,Geneva,ATP250,,clay,outdoor
Paris_2024,French Open,Paris,Grand Slam,,clay,outdoor
Stuttgart_2024,Stuttgart Open,Stuttgart,ATP250,,grass,outdoor
's-Hertogenbosch_2024,Rosmalen Grass Court Championships,'s-Hertogenbosch,ATP250,,grass,outdoor
Halle_2024,Halle Open,Halle,ATP500,,grass,outdoor
Queens Club_2024,Queen's Club Championships,Queens Club,ATP500,,grass,outdoor
Mallorca_2024,Mallorca Championships,Mallorca,ATP250,,grass,outdoor
Eastbourne_2024,Eastbourne International,Eastbourne,ATP250,,grass,outdoor
London_2024,Wimbledon,London,Grand Slam,,grass,outdoor
Hamburg_2024,European Open,Hamburg,ATP250,,clay,outdoor
Gstaad_2024,Suisse Open Gstaad,Gstaad,ATP250,,clay,outdoor
Newport_2024,Hall of Fame Championships,Newport,ATP250,,grass,outdoor
Bastad_2024,Nordea Open,Bastad,ATP250,,clay,outdoor
Umag_2024,Croatia Open,Umag,ATP250,,clay,outdoor
Kitzbuhel_2024,Generali Open,Kitzbuhel,ATP250,,clay,outdoor
Atlanta_2024,Atlanta Open,Atlanta,ATP250,,hard,outdoor
Washington_2024,Citi Open,Washington,ATP500,,hard,outdoor
Montreal_2024,Canadian Open,Montreal,Masters 1000,,hard,outdoor
Cincinnati_2024,Western & Southern Financial Group Masters,Cincinnati,Masters 1000,,hard,outdoor
Winston-Salem_2024,Winston-Salem Open at Wake Forest University,Winston-Salem,ATP250,,hard,outdoor
New York_2024,US Open,New York,Grand Slam,,hard,outdoor
Hangzhou_2024,Hangzhou Open,Hangzhou,ATP250,,hard,outdoor
Chengdu_2024,Chengdu Open,Chengdu,ATP250,,hard,outdoor
Tokyo_2024,Japan Open Tennis Championships,Tokyo,ATP500,,hard,outdoor
Beijing_2024,China Open,Beijing,ATP500,,hard,outdoor
Shanghai_2024,Shanghai Masters,Shanghai,Masters 1000,,hard,outdoor
Antwerp_2024,European Open,Antwerp,ATP250,,hard,INDOOR
Stockholm_2024,Nordic Open,Stockholm,ATP250,,hard,INDOOR
Almaty_2024,Almaty Open,Almaty,ATP250,,hard,INDOOR
Basel_2024,Swiss Indoors,Basel,ATP500,,hard,INDOOR
Vienna_2024,Vienna Open,Vienna,ATP500,,hard,INDOOR
Paris 2_2024,BNP Paribas Masters,Paris 2,Masters 1000,,hard,INDOOR
Belgrade 2_2024,Belgrade Open,Belgrade 2,ATP250,,hard,INDOOR
Metz_2024,Open de Moselle,Metz,ATP250,,hard,INDOOR
brisbane_2025,BRISBANE,brisbane,ATP 250,,hard,outdoor
hong kong_2025,HONG KONG,hong kong,ATP 250,,hard,outdoor
auckland_2025,AUCKLAND,auckland,ATP 250,,hard,outdoor
adelaide_2025,ADELAIDE,adelaide,ATP 250,,hard,outdoor
melbourne_2025,AUSTRALIAN OPEN,melbourne,Grand Slam,,hard,outdoor
