url,tournament_name,tournament_location,tournament_country,Surface,indoor_or_outdoor,Round,Date,time,winner_name,winner_rank,winner_seed,loser_name,loser_rank,loser_seed,Comment,Wsets,Lsets,minutes,W1,W2,W3,W4,W5,L1,L2,L3,L4,L5,w_ace,l_ace,w_df,l_df,winner_1st Serve Percentage,loser_1st Serve Percentage,winner_1st Serve Points Won,loser_1st Serve Points Won,winner_2nd Serve Points Won,loser_2nd Serve Points Won,winner_Break Points Saved,loser_Break Points Saved,winner_Average 1st Serve Speed,loser_Average 1st Serve Speed,winner_Average 2nd Serve Speed,loser_Average 2nd Serve Speed,winner_1st Return Points Won,loser_1st Return Points Won,winner_2nd Return Points Won,loser_2nd Return Points Won,winner_Break Points Converted,loser_Break Points Converted,winner_Winners,loser_Winners,winner_Unforced Errors,loser_Unforced Errors,winner_Net Points Won,loser_Net Points Won,winner_Service Points Won,loser_Service Points Won,winner_Return Points Won,loser_Return Points Won,winner_Total Points Won,loser_Total Points Won,winner_Last 10 Balls,loser_Last 10 Balls,winner_Match Points Saved,loser_Match Points Saved,winner_Service Games Won,loser_Service Games Won,winner_Return Games Won,loser_Return Games Won,winner_Total Games Won,loser_Total Games Won,winner_Name,winner_ioc,winner_Height,winner_Date_of_birth,winner_hand,winner_id,loser_Name,loser_ioc,loser_Height,loser_Date_of_birth,loser_hand,loser_id,winner_entry,loser_entry,winner_age,loser_age,tournament_level,match_id
https://www.livesport.com/game/AuPGIzXI/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-17,03:15,paul t.,11,12,carballes baena r.,57,,FINAL,3,0,2:24,"7
7",6,6,,,"6
0",2,0,,,7,3,2,10,55%,55%,79% (37/47),69% (37/54),51% (20/39),20% (9/44),60% (3/5),56% (9/16),183 km/h,184 km/h,145 km/h,143 km/h,31% (17/54),21% (10/47),80% (35/44),49% (19/39),44% (7/16),40% (2/5),56,19,29,28,80% (37/46),75% (15/20),66% (57/86),47% (46/98),53% (52/98),34% (29/86),59% (109/184),41% (75/184),7,3,0,0,85% (11/13),46% (6/13),54% (7/13),15% (2/13),69% (18/26),31% (8/26),Paul Tommy,USA,185 cm,1997-05-17,right,126205,Carballes Baena Roberto,Spain,183 cm,1993-03-23,right,106148,,,27,31,SLAM,melbourne_2025_126205_106148
https://www.livesport.com/game/dQO8XjHD/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-17,04:15,alcaraz c.,3,3,borges n.,33,,FINAL,3,1,2:57,6,6,"6
3",6,,2,4,"7
7",2,,9,3,3,1,61%,69%,84% (56/67),64% (60/94),57% (24/42),53% (23/43),100% (3/3),62% (8/13),193 km/h,183 km/h,155 km/h,150 km/h,36% (34/94),16% (11/67),47% (20/43),43% (18/42),38% (5/13),0% (0/3),54,15,50,41,76% (25/33),62% (16/26),73% (80/109),61% (83/137),39% (54/137),27% (29/109),54% (134/246),46% (112/246),6,4,0,0,100% (19/19),74% (14/19),26% (5/19),0% (0/19),63% (24/38),37% (14/38),Alcaraz Carlos,Spain,185 cm,2003-05-05,right,207989,Borges Nuno,Portugal,185 cm,1997-02-19,right,132686,,,21,27,SLAM,melbourne_2025_207989_132686
https://www.livesport.com/game/rcPLRqZh/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-17,05:05,zverev a.,2,2,fearnley j.,92,,FINAL,3,0,2:01,6,6,6,,,3,4,4,,,7,6,1,6,72%,66%,79% (46/58),62% (32/52),52% (12/23),48% (13/27),67% (4/6),58% (7/12),200 km/h,189 km/h,170 km/h,159 km/h,38% (20/52),21% (12/58),52% (14/27),57% (13/23),42% (5/12),33% (2/6),25,27,15,34,82% (14/17),60% (15/25),72% (58/81),57% (45/79),43% (34/79),28% (23/81),58% (92/160),43% (68/160),5,5,0,0,87% (13/15),64% (9/14),36% (5/14),13% (2/15),62% (18/29),38% (11/29),Zverev Alexander,Germany,198 cm,1997-04-20,right,100644,Fearnley Jacob,Great Britain,185 cm,2001-07-15,right,745390,,,27,23,SLAM,melbourne_2025_100644_745390
https://www.livesport.com/game/Q7wgDlEM/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-17,05:35,davidovich fokina a.,66,,mensik j.,48,,FINAL,3,2,3:28,3,4,"7
9",6,6,6,6,"6
7",4,2,4,16,3,7,69%,57%,69% (74/108),83% (67/81),52% (25/48),39% (24/61),77% (17/22),33% (3/9),180 km/h,200 km/h,156 km/h,154 km/h,17% (14/81),31% (34/108),59% (36/61),48% (23/48),67% (6/9),23% (5/22),51,48,44,34,79% (41/52),49% (20/41),63% (99/156),64% (91/142),36% (51/142),37% (57/156),50% (150/298),50% (148/298),8,2,2,0,79% (19/24),76% (19/25),24% (6/25),21% (5/24),51% (25/49),49% (24/49),Davidovich Fokina Alejandro,Spain,183 cm,1999-06-05,right,200221,Mensik Jakub,Czech Republic,185 cm,2005-09-01,right,210150,,,25,19,SLAM,melbourne_2025_200221_210150
https://www.livesport.com/game/0tzD4L8F/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-17,09:00,humbert u.,14,14,fils a.,21,20,"FINAL / RETIRED -
FILS A.",2,1,2:35,4,7,6,,,6,5,4,,,3,6,6,2,63%,64%,76% (50/66),64% (42/66),39% (15/38),49% (18/37),57% (4/7),50% (5/10),181 km/h,193 km/h,155 km/h,166 km/h,36% (24/66),24% (16/66),51% (19/37),61% (23/38),50% (5/10),43% (3/7),19,28,36,36,50% (9/18),61% (11/18),63% (64/102),59% (60/101),41% (41/101),37% (38/102),52% (105/203),48% (98/203),8,2,0,0,81% (13/16),71% (12/17),29% (5/17),19% (3/16),55% (18/33),45% (15/33),Humbert Ugo,France,188 cm,1998-06-26,left,200005,Fils Arthur,France,185 cm,2004-06-12,right,209950,,,26,20,SLAM,melbourne_2025_200005_209950
https://www.livesport.com/game/SbjzDvhK/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-17,09:15,djokovic n.,7,7,machac t.,25,26,FINAL,3,0,2:22,6,6,6,,,1,4,4,,,9,4,4,5,65%,63%,80% (41/51),64% (35/55),54% (15/28),38% (12/32),67% (2/3),67% (10/15),188 km/h,185 km/h,155 km/h,153 km/h,36% (20/55),20% (10/51),63% (20/32),46% (13/28),33% (5/15),33% (1/3),28,25,20,35,67% (12/18),55% (12/22),71% (56/79),54% (47/87),46% (40/87),29% (23/79),58% (96/166),42% (70/166),6,4,0,1,93% (13/14),62% (8/13),38% (5/13),7% (1/14),67% (18/27),33% (9/27),Djokovic Novak,Serbia,187 cm,1987-05-22,right,104925,Machac Tomas,Czech Republic,183 cm,2000-10-13,right,207830,,,37,24,SLAM,melbourne_2025_104925_207830
https://www.livesport.com/game/OCQ0ZCn1/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-17,09:35,lehecka j.,29,24,bonzi b.,64,,FINAL,3,0,1:49,6,6,6,,,2,3,3,,,9,1,1,2,68%,60%,81% (42/52),57% (29/51),58% (14/24),56% (19/34),100% (2/2),38% (3/8),193 km/h,187 km/h,166 km/h,155 km/h,43% (22/51),19% (10/52),44% (15/34),42% (10/24),63% (5/8),0% (0/2),33,15,22,31,89% (17/19),73% (11/15),74% (56/76),56% (48/85),44% (37/85),26% (20/76),58% (93/161),42% (68/161),5,5,0,1,100% (13/13),62% (8/13),38% (5/13),0% (0/13),69% (18/26),31% (8/26),Lehecka Jiri,Czech Republic,183 cm,2001-11-08,right,208103,Bonzi Benjamin,France,185 cm,1996-06-09,right,126127,,,23,28,SLAM,melbourne_2025_208103_126127
https://www.livesport.com/game/YZTiOv3s/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-17,10:55,draper j.,18,15,vukic a.,68,,FINAL,3,2,4:02,6,2,5,"7
7","7
10",4,6,7,"6
5","6
8",29,22,4,6,68%,63%,75% (84/112),78% (93/119),52% (27/52),41% (28/69),57% (8/14),78% (14/18),185 km/h,185 km/h,145 km/h,150 km/h,22% (26/119),25% (28/112),59% (41/69),48% (25/52),22% (4/18),43% (6/14),74,81,45,53,76% (32/42),66% (29/44),68% (111/164),64% (121/188),36% (67/188),32% (53/164),51% (178/352),49% (174/352),6,4,0,1,78% (21/27),85% (23/27),15% (4/27),22% (6/27),46% (25/54),54% (29/54),Draper Jack,Great Britain,191 cm,2001-12-22,left,207733,Vukic Aleksandar,Australia,188 cm,1996-04-06,right,126846,,,23,28,SLAM,melbourne_2025_207733_126846
https://www.livesport.com/game/fugici9m/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-18,01:15,michelsen a.,42,,khachanov k.,19,19,FINAL,3,0,2:10,6,"7
7",6,,,3,"6
5",2,,,8,14,4,1,63%,63%,73% (45/62),73% (38/52),59% (22/37),48% (15/31),67% (2/3),0% (0/4),189 km/h,188 km/h,169 km/h,160 km/h,27% (14/52),27% (17/62),52% (16/31),41% (15/37),100% (4/4),33% (1/3),39,32,27,23,76% (22/29),63% (10/16),68% (67/99),64% (53/83),36% (30/83),32% (32/99),53% (97/182),47% (85/182),7,3,0,0,93% (14/15),71% (10/14),29% (4/14),7% (1/15),62% (18/29),38% (11/29),Michelsen Alex,USA,185 cm,2004-08-25,right,210506,Khachanov Karen,Russia,198 cm,1996-05-21,right,111575,,,20,28,SLAM,melbourne_2025_210506_111575
https://www.livesport.com/game/YJXjsWa6/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-18,04:05,monfils g.,41,,fritz t.,4,4,FINAL,3,1,3:08,3,7,"7
7",6,,6,5,"6
1",4,,24,12,4,0,61%,67%,82% (61/74),75% (65/87),68% (32/47),58% (25/43),75% (3/4),67% (4/6),190 km/h,191 km/h,167 km/h,151 km/h,25% (22/87),18% (13/74),42% (18/43),32% (15/47),33% (2/6),25% (1/4),58,44,34,36,73% (11/15),53% (16/30),77% (93/121),69% (90/130),31% (40/130),23% (28/121),53% (133/251),47% (118/251),7,3,0,0,95% (20/21),91% (20/22),9% (2/22),5% (1/21),51% (22/43),49% (21/43),Monfils Gael,France,193 cm,1986-09-01,right,104792,Fritz Taylor,USA,193 cm,1997-10-28,right,126203,,,38,27,SLAM,melbourne_2025_104792_126203
https://www.livesport.com/game/SIQauAUI/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-18,04:10,de minaur a.,8,8,cerundolo f.,31,31,FINAL,3,1,3:53,5,"7
7",6,6,,7,"6
3",3,3,,7,5,9,6,49%,52%,70% (47/67),63% (50/79),56% (39/70),47% (34/73),44% (4/9),56% (9/16),190 km/h,185 km/h,154 km/h,140 km/h,37% (29/79),30% (20/67),53% (39/73),44% (31/70),44% (7/16),56% (5/9),22,40,62,91,63% (15/24),59% (16/27),63% (86/137),55% (84/152),45% (68/152),37% (51/137),53% (154/289),47% (135/289),6,4,0,2,76% (16/21),67% (14/21),33% (7/21),24% (5/21),55% (23/42),45% (19/42),De Minaur Alex,Australia,183 cm,1999-02-17,right,200282,Cerundolo Francisco,Argentina,185 cm,1998-08-13,right,202103,,,25,26,SLAM,melbourne_2025_200282_202103
https://www.livesport.com/game/2BFmsacM/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-18,05:30,sonego l.,55,,marozsan f.,59,,FINAL,3,1,3:16,"6
3","7
8",6,6,,"7
7","6
6",1,2,,15,9,3,7,63%,65%,85% (69/81),73% (63/86),55% (26/47),49% (23/47),100% (5/5),73% (11/15),191 km/h,182 km/h,161 km/h,149 km/h,28% (24/86),15% (12/81),51% (24/47),49% (23/47),27% (4/15),0% (0/5),51,43,29,48,92% (22/24),67% (24/36),73% (95/130),64% (86/134),36% (48/134),27% (35/130),54% (143/264),46% (121/264),6,4,0,1,100% (20/20),79% (15/19),21% (4/19),0% (0/20),62% (24/39),38% (15/39),Sonego Lorenzo,Italy,191 cm,1995-05-11,right,132283,Marozsan Fabian,Hungary,185 cm,1999-10-08,right,206681,,,29,25,SLAM,melbourne_2025_132283_206681
https://www.livesport.com/game/xW8v8LuC/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-18,05:45,tien l.,121,,moutet c.,69,,FINAL,3,0,2:49,"7
12",6,6,,,"6
10",3,3,,,1,3,5,2,52%,70%,73% (41/56),60% (45/75),55% (28/51),47% (15/32),77% (10/13),60% (9/15),170 km/h,158 km/h,153 km/h,129 km/h,40% (30/75),27% (15/56),53% (17/32),45% (23/51),40% (6/15),23% (3/13),30,33,38,42,69% (24/35),65% (13/20),64% (69/107),56% (60/107),44% (47/107),36% (38/107),54% (116/214),46% (98/214),8,2,0,1,80% (12/15),60% (9/15),40% (6/15),20% (3/15),60% (18/30),40% (12/30),Tien Learner,USA,185 cm,2005-12-02,left,210530,Moutet Corentin,France,175 cm,1999-04-19,left,144895,,,19,25,SLAM,melbourne_2025_210530_144895
https://www.livesport.com/game/MwZRrqyB/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-18,07:10,shelton b.,20,21,musetti l.,15,16,FINAL,3,1,2:52,6,3,6,"7
7",,3,6,4,"6
5",,11,2,3,3,70%,59%,81% (67/83),74% (51/69),47% (17/36),60% (28/47),67% (4/6),50% (3/6),197 km/h,187 km/h,170 km/h,147 km/h,26% (18/69),19% (16/83),40% (19/47),53% (19/36),50% (3/6),33% (2/6),38,29,56,33,60% (33/55),67% (18/27),71% (84/119),68% (79/116),32% (37/116),29% (35/119),51% (121/235),49% (114/235),6,4,0,0,90% (18/20),85% (17/20),15% (3/20),10% (2/20),53% (21/40),48% (19/40),Shelton Ben,USA,185 cm,2002-10-09,left,210097,Musetti Lorenzo,Italy,185 cm,2002-03-03,right,207518,,,22,22,SLAM,melbourne_2025_210097_207518
https://www.livesport.com/game/fyosatxi/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-18,09:15,sinner j.,1,1,giron m.,46,,FINAL,3,0,1:59,6,6,6,,,3,4,2,,,8,2,2,2,60%,59%,82% (41/50),67% (32/48),52% (17/33),35% (12/34),86% (6/7),50% (5/10),189 km/h,176 km/h,155 km/h,140 km/h,33% (16/48),18% (9/50),65% (22/34),48% (16/33),50% (5/10),14% (1/7),35,11,37,23,67% (16/24),64% (7/11),70% (58/83),54% (44/82),46% (38/82),30% (25/83),58% (96/165),42% (69/165),7,3,0,0,93% (13/14),62% (8/13),38% (5/13),7% (1/14),67% (18/27),33% (9/27),Sinner Jannik,Italy,188 cm,2001-08-16,right,206173,Giron Marcos,USA,180 cm,1993-07-24,right,106218,,,23,31,SLAM,melbourne_2025_206173_106218
https://www.livesport.com/game/KSeKywLq/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/16-FINALS,2025-01-18,11:20,rune h.,13,13,kecmanovic m.,51,,FINAL,3,2,3:30,"6
5",6,4,6,6,"7
7",3,6,4,4,16,4,5,6,62%,66%,77% (73/95),69% (66/95),47% (27/58),56% (27/48),38% (3/8),56% (9/16),185 km/h,182 km/h,160 km/h,150 km/h,31% (29/95),23% (22/95),44% (21/48),53% (31/58),44% (7/16),63% (5/8),83,45,55,26,63% (17/27),57% (12/21),64% (101/158),62% (94/151),38% (57/151),36% (57/158),51% (158/309),49% (151/309),8,2,0,0,81% (21/26),72% (18/25),28% (7/25),19% (5/26),55% (28/51),45% (23/51),Rune Holger,Denmark,185 cm,2003-04-29,right,208029,Kecmanovic Miomir,Serbia,183 cm,1999-08-31,right,200175,,,21,25,SLAM,melbourne_2025_208029_200175
https://www.livesport.com/game/UiUSXSbC/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/8-FINALS,2025-01-19,05:40,paul t.,11,12,davidovich fokina a.,66,,FINAL,3,0,1:20,6,6,6,,,1,1,1,,,8,2,0,0,67%,59%,84% (38/45),50% (18/36),55% (12/22),32% (8/25),100% (3/3),46% (6/13),184 km/h,178 km/h,150 km/h,156 km/h,50% (18/36),16% (7/45),60% (15/25),45% (10/22),54% (7/13),0% (0/3),25,11,12,27,100% (1/1),100% (3/3),75% (50/67),43% (26/61),57% (35/61),25% (17/67),66% (85/128),34% (43/128),8,2,0,0,100% (11/11),30% (3/10),70% (7/10),0% (0/11),86% (18/21),14% (3/21),Paul Tommy,USA,185 cm,1997-05-17,right,126205,Davidovich Fokina Alejandro,Spain,183 cm,1999-06-05,right,200221,,,27,25,SLAM,melbourne_2025_126205_200221
https://www.livesport.com/game/8Qq1widt/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/8-FINALS,2025-01-19,06:05,alcaraz c.,3,3,draper j.,18,15,"FINAL / RETIRED -
DRAPER J.",2,0,1:30,7,6,,,,5,1,,,,6,5,5,2,68%,59%,83% (33/40),55% (22/40),37% (7/19),43% (12/28),67% (2/3),67% (8/12),194 km/h,185 km/h,154 km/h,150 km/h,45% (18/40),18% (7/40),57% (16/28),63% (12/19),33% (4/12),33% (1/3),38,14,28,16,86% (18/21),44% (4/9),68% (40/59),50% (34/68),50% (34/68),32% (19/59),58% (74/127),42% (53/127),9,1,0,0,90% (9/10),56% (5/9),44% (4/9),10% (1/10),68% (13/19),32% (6/19),Alcaraz Carlos,Spain,185 cm,2003-05-05,right,207989,Draper Jack,Great Britain,191 cm,2001-12-22,left,207733,,,21,23,SLAM,melbourne_2025_207989_207733
https://www.livesport.com/game/MssXFOD7/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/8-FINALS,2025-01-19,08:10,zverev a.,2,2,humbert u.,14,14,FINAL,3,1,2:19,6,2,6,6,,1,6,3,2,,19,12,3,3,71%,71%,84% (51/61),69% (51/74),48% (12/25),23% (7/30),71% (5/7),63% (10/16),203 km/h,178 km/h,175 km/h,150 km/h,31% (23/74),16% (10/61),77% (23/30),52% (13/25),38% (6/16),29% (2/7),43,23,29,41,73% (11/15),57% (8/14),73% (63/86),56% (58/104),44% (46/104),27% (23/86),57% (109/190),43% (81/190),7,3,0,0,88% (14/16),63% (10/16),38% (6/16),13% (2/16),63% (20/32),38% (12/32),Zverev Alexander,Germany,198 cm,1997-04-20,right,100644,Humbert Ugo,France,188 cm,1998-06-26,left,200005,,,27,26,SLAM,melbourne_2025_100644_200005
https://www.livesport.com/game/0ShOHpqe/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,1/8-FINALS,2025-01-19,09:15,djokovic n.,7,7,lehecka j.,29,24,FINAL,3,0,2:41,6,6,"7
7",,,3,4,"6
4",,,9,11,3,4,59%,57%,81% (44/54),78% (47/60),63% (24/38),41% (19/46),67% (2/3),73% (8/11),188 km/h,198 km/h,149 km/h,162 km/h,22% (13/60),19% (10/54),59% (27/46),37% (14/38),27% (3/11),33% (1/3),27,39,21,44,89% (16/18),69% (18/26),74% (68/92),62% (66/106),38% (40/106),26% (24/92),55% (108/198),45% (90/198),6,4,0,0,94% (15/16),80% (12/15),20% (3/15),6% (1/16),58% (18/31),42% (13/31),Djokovic Novak,Serbia,187 cm,1987-05-22,right,104925,Lehecka Jiri,Czech Republic,183 cm,2001-11-08,right,208103,,,37,23,SLAM,melbourne_2025_104925_208103
